Frequency ,Vo(V),Gain(Vo/Vin),Wavelength(cm),"Phase
Difference
x (cm)","Phase ?
(cm)
=360x/?"
1,20.75,0.04,854982,194405.81,81.86
2,41.75,0.08,1709964,107513.99,22.64
3,62.5,0.13,2564946,63054.92,8.85
4,83,0.17,3419928,47024.01,4.95
5,103,0.21,4274910,35806.65,3.02
6,122.5,0.25,5129892,29975.67,2.1
7,141,0.28,5984874,23811.25,1.43
8,160,0.32,6839856,20579.42,1.08
9,178,0.36,7694838,17928.97,0.84
10,195,0.39,8549820,16167.71,0.68
20,322.5,0.65,17099640,5728.38,0.12
30,391.25,0.79,25649460,3112.13,0.04
40,430,0.87,34199280,1641.57,0.02
50,450,0.91,42749100,1231.17,0.01
60,462.5,0.9231,51298920,914.83,0.0064
70,471.83,0.9468,59848740,589.94,0.0035
80,479.65,0.9625,68398560,495.89,0.0026
90,481.33,0.9659,76948380,350.54,0.0016
100,484.5,0.9722,85498200,299.24,0.0013
200,494,0.9913,170996400,59.85,0.000126
300,495.58,0.994482,256494600,46.17,0.000065
400,497.17,0.997672,341992800,59.85,0.000063
500,498.33,1,427491000,0,0
600,498.33,1,512989200,0,0
700,498.33,1,598487400,0,0
800,500,1,683985600,0,0
900,500,1,769483800,0,0
1000,500,1,854982000,0,0
2000,500,1,1709964000,0,0
3000,500,1,2564946000,0,0
4000,500,1,3419928000,0,0
5000,500,1,4274910000,0,0
6000,500,1,5129892000,0,0
7000,497.5,0.995,5984874000,-3.74,0
8000,495,0.99,6839856000,-3.21,-0.00000017
9000,495,0.99,7694838000,-2.14,-0.0000001
10000,495,0.99,8549820000,-2.35,-0.0000001
20000,482.5,0.965,17099640000,-1.6,-0.00000003
30000,465,0.93,25649460000,-1.86,-0.00000003
40000,442.5,0.885,34199280000,-1.55,-0.00000002
50000,417.5,0.835,42749100000,-1.46,-0.00000001
60000,392.5,0.785,51298920000,-1.33,-0.00000001
70000,367.5,0.735,59848740000,-1.47,-0.00000001
80000,345,0.69,68398560000,-1.41,-0.00000001
90000,322.5,0.645,76948380000,-1.32,-0.00000001
100000,300,0.6,85498200000,-1.26,-0.00000001
